Marca temporal,1 - ¿Tienes mascota?,2 - Indica tu género ,3 - Edad ,4 - ¿Qué mascotas tienes? ,5 - Si tienes perro...,6 - Si tienes gato...,7 - ¿Cuánto tiempo al día pasas con tu mascota? ,8 - ¿Cuándo vas de vacaciones viajas con tu mascota? ,"9 - Aproximadamente, ¿cuánto dinero gastas al año en tu mascota?",10 - ¿Tienes esterilizada a tu mascota?,"11 - Si tienes perro, ¿de qué raza es? ","12 - Si tienes gato, ¿de qué raza es? ",13 - ¿Consideras que tu mascota te hace más feliz?,14 - ¿Consideras que tu mascota es un miembro más de la familia?
22/04/2024 12:02:15,Sí,Mujer,25- 35 años,Perro,Adoptado,,+ de 1 hora,A veces,Entre 1000€ y 2000€,Sí,Mestizo,,Sí,Sí
22/04/2024 12:02:20,Sí,Hombre,25- 35 años,Perro,Adoptado,,+ de 1 hora,A veces,Entre 1000€ y 2000€,Sí,Mestizo,,Sí,Sí
22/04/2024 12:02:20,Sí,Mujer,25- 35 años,"Perro, Gato",Adoptado,Adoptado,+ de 1 hora,A veces,Entre 2000€ y 3000€,Sí,Mestizo,"Siamés, Otro",Sí,Sí
22/04/2024 12:02:32,Sí,Mujer,35 - 45 años,"Perro, Gato",Adoptado,Adoptado,+ de 1 hora,A veces,Menos de 1000€,Sí,Mestizo,No lo sé,Sí,Sí
22/04/2024 12:03:18,"Sí, No",Mujer,25- 35 años,Perro,Adoptado,,+ de 1 hora,A veces,Entre 2000€ y 3000€,Sí,Mestizo,,Sí,Sí
22/04/2024 12:03:44,Sí,Mujer,25- 35 años,Gato,,Adoptado,+ de 1 hora,A veces,Menos de 1000€,Sí,,Otro,Sí,Sí
22/04/2024 12:04:07,Sí,Mujer,25- 35 años,Perro,Adoptado,,+ de 1 hora,A veces,Entre 1000€ y 2000€,Sí,No lo sé,,Sí,Sí
22/04/2024 12:04:44,Sí,Mujer,45 -55 años,Gato,,Adoptado,+ de 1 hora,A veces,Menos de 1000€,Sí,,Otro,Sí,Sí
22/04/2024 12:06:10,Sí,Mujer,25- 35 años,Reptil,Comprado,,15 minutos,No,Menos de 1000€,No,,,Sí,Sí
22/04/2024 12:06:24,Sí,Mujer,25- 35 años,Perro,Adoptado,,+ de 1 hora,A veces,Menos de 1000€,Sí,Mestizo,,Sí,Sí
22/04/2024 12:06:27,Sí,Mujer,25- 35 años,Perro,Adoptado,,+ de 1 hora,A veces,Entre 1000€ y 2000€,No,Mestizo,,Sí,Sí
22/04/2024 12:06:29,Sí,Hombre,25- 35 años,Perro,Adoptado,,+ de 1 hora,A veces,Menos de 1000€,Sí,Mestizo,,Sí,Sí
22/04/2024 12:06:48,Sí,Mujer,35 - 45 años,Gato,,Adoptado,+ de 1 hora,A veces,Entre 2000€ y 3000€,Sí,,Otro,Sí,Sí
22/04/2024 12:08:03,Sí,Mujer,25- 35 años,Perro,Adoptado,,+ de 1 hora,Sí,Menos de 1000€,No,Caniche,,Sí,Sí
22/04/2024 12:08:20,Sí,Mujer,25- 35 años,Perro,Adoptado,,+ de 1 hora,Sí,Menos de 1000€,Sí,Beagle,,Sí,Sí
22/04/2024 12:08:28,Sí,Mujer,25- 35 años,Gato,Comprado,Adoptado,+ de 1 hora,A veces,Más 3000€,Sí,Yorkshire terrier,Otro,Sí,Sí
22/04/2024 12:09:36,Sí,Mujer,25- 35 años,Gato,,Adoptado,+ de 1 hora,A veces,Menos de 1000€,Sí,,No lo sé,Sí,Sí
22/04/2024 12:09:53,No,Hombre,25- 35 años,,,,,No,,,,,,
22/04/2024 12:10:00,Sí,Mujer,25- 35 años,Perro,Adoptado,,+ de 1 hora,A veces,Entre 2000€ y 3000€,Sí,Mestizo,,Sí,Sí
22/04/2024 12:10:20,Sí,Mujer,+55 años,Gato,,Adoptado,+ de 1 hora,No,Menos de 1000€,Sí,,Otro,Sí,Sí
22/04/2024 12:10:31,Sí,Mujer,25- 35 años,Perro,Adoptado,,+ de 1 hora,Sí,Entre 1000€ y 2000€,Sí,Mestizo,,Sí,Sí
22/04/2024 12:11:24,Sí,Hombre,35 - 45 años,Gato,,Adoptado,+ de 1 hora,A veces,Entre 1000€ y 2000€,Sí,,Otro,Sí,Sí
22/04/2024 12:12:26,Sí,Mujer,25- 35 años,Perro,Adoptado,,+ de 1 hora,A veces,Entre 1000€ y 2000€,Sí,Mestizo,,Sí,Sí
22/04/2024 12:14:17,Sí,Hombre,35 - 45 años,Roedor,,,+ de 1 hora,No,Menos de 1000€,No,,,Sí,Sí
22/04/2024 12:14:33,Sí,Mujer,35 - 45 años,"Perro, Gato",Adoptado,Adoptado,+ de 1 hora,Sí,Entre 1000€ y 2000€,Sí,"Golden retriever, Bóxer",Maine Coon,Sí,Sí
22/04/2024 12:15:01,Sí,Mujer,25- 35 años,Perro,Adoptado,,1 hora,No,Entre 1000€ y 2000€,Sí,"Pastor alemán, Mestizo",,Sí,Sí
22/04/2024 12:15:58,No,Hombre,25- 35 años,,,,,,,,,,,
22/04/2024 12:16:17,Sí,Mujer,25- 35 años,Perro,Adoptado,,+ de 1 hora,Sí,Entre 1000€ y 2000€,Sí,Mestizo,,Sí,Sí
22/04/2024 12:19:20,Sí,Mujer,25- 35 años,"Perro, Gato",Adoptado,Adoptado,+ de 1 hora,A veces,Entre 1000€ y 2000€,Sí,,Otro,Sí,Sí
22/04/2024 12:21:12,Sí,Mujer,25- 35 años,Perro,Adoptado,,+ de 1 hora,A veces,Menos de 1000€,Sí,Mestizo,,Sí,Sí
22/04/2024 12:22:04,Sí,Mujer,35 - 45 años,"Perro, Gato",Adoptado,Adoptado,+ de 1 hora,A veces,Entre 2000€ y 3000€,No,No lo sé,No lo sé,Sí,Sí
